latitude, longitude, time, temp, hum, alt, PM2.5, CO2, CO, NO2, NH3 
40.4106902,-3.6933667999999997,17:48:44.00,24,40,634,80,13,0.0,10,4
40.41075286661678,-3.6933707426493427,17:48:44.00,24,40,634,80,13,0.04,10,4
40.41081454494358,-3.6933825084194356,17:48:44.00,24,40,634,80,13,0.08,10,4
40.41087426227634,-3.693401911757056,17:48:44.00,24,40,634,80,13,0.12000000000000001,10,4
40.41093107683705,-3.693428646659978,17:48:44.00,24,40,634,80,13,0.16,10,4
40.410984092626144,-3.6934622915028124,17:48:44.00,24,40,634,80,13,0.2,10,4
40.411032473552964,-3.693502315686289,17:48:44.00,24,40,634,80,13,0.24,10,4
40.41107545662138,-3.6935480880051257,17:48:44.00,24,40,634,80,13,0.27999999999999997,10,4
40.41111236396275,-3.6935988866025102,17:48:44.00,24,40,634,80,13,0.31999999999999995,10,4
40.41114261352623,-3.693653910354217,17:48:44.00,24,40,634,80,13,0.35999999999999993,10,4
40.41116572825815,-3.693712291502812,17:48:44.00,24,40,634,80,13,0.3999999999999999,10,4
40.411181343625366,-3.693773109342707,17:48:44.00,24,40,634,80,13,0.4399999999999999,10,4
40.41118921336421,-3.693835404740235,17:48:44.00,24,40,634,80,13,0.4799999999999999,10,4
40.41118921336421,-3.6938981952597647,17:48:44.00,24,40,634,80,13,0.5199999999999999,10,4
40.411181343625366,-3.6939604906572927,17:48:44.00,24,40,634,80,13,0.5599999999999998,10,4
40.41116572825815,-3.6940213084971876,17:48:44.00,24,40,634,80,13,0.5999999999999999,10,4
40.41114261352623,-3.6940796896457826,17:48:44.00,24,40,634,80,13,0.6399999999999999,10,4
40.41111236396275,-3.6941347133974896,17:48:44.00,24,40,634,80,13,0.6799999999999999,10,4
40.41107545662138,-3.694185511994874,17:48:44.00,24,40,634,80,13,0.72,10,4
40.411032473552964,-3.6942312843137106,17:48:44.00,24,40,634,80,13,0.7600000000000001,10,4
40.410984092626144,-3.6942713084971874,17:48:44.00,24,40,634,80,13,0.8000000000000002,10,4
40.41093107683705,-3.694304953340022,17:48:44.00,24,40,634,80,13,0.8400000000000002,10,4
40.41087426227634,-3.694331688242944,17:48:44.00,24,40,634,80,13,0.8800000000000002,10,4
40.41081454494358,-3.694351091580564,17:48:44.00,24,40,634,80,13,0.9200000000000003,10,4
40.41075286661678,-3.694362857350657,17:48:44.00,24,40,634,80,13,0.9600000000000004,10,4
40.4106902,-3.6943668,17:48:44.00,24,40,634,80,13,1.0000000000000004,10,4
40.41062753338321,-3.694362857350657,17:48:44.00,24,40,634,80,13,1.0400000000000005,10,4
40.41056585505642,-3.694351091580564,17:48:44.00,24,40,634,80,13,1.0800000000000005,10,4
40.41050613772366,-3.694331688242944,17:48:44.00,24,40,634,80,13,1.1200000000000006,10,4
40.41044932316294,-3.694304953340022,17:48:44.00,24,40,634,80,13,1.1600000000000006,10,4
40.41039630737385,-3.6942713084971874,17:48:44.00,24,40,634,80,13,1.2000000000000006,10,4
40.41034792644703,-3.6942312843137106,17:48:44.00,24,40,634,80,13,1.2400000000000007,10,4
40.41030494337861,-3.694185511994874,17:48:44.00,24,40,634,80,13,1.2800000000000007,10,4
40.410268036037245,-3.6941347133974896,17:48:44.00,24,40,634,80,13,1.3200000000000007,10,4
40.410237786473765,-3.6940796896457826,17:48:44.00,24,40,634,80,13,1.3600000000000008,10,4
40.41021467174185,-3.6940213084971876,17:48:44.00,24,40,634,80,13,1.4000000000000008,10,4
40.41019905637463,-3.6939604906572927,17:48:44.00,24,40,634,80,13,1.4400000000000008,10,4
40.410191186635785,-3.6938981952597647,17:48:44.00,24,40,634,80,13,1.4800000000000009,10,4
40.410191186635785,-3.693835404740235,17:48:44.00,24,40,634,80,13,1.5200000000000011,10,4
40.41019905637463,-3.693773109342707,17:48:44.00,24,40,634,80,13,1.5600000000000012,10,4
40.41021467174185,-3.693712291502812,17:48:44.00,24,40,634,80,13,1.6000000000000012,10,4
40.410237786473765,-3.693653910354217,17:48:44.00,24,40,634,80,13,1.6400000000000012,10,4
40.410268036037245,-3.6935988866025102,17:48:44.00,24,40,634,80,13,1.6800000000000013,10,4
40.41030494337861,-3.6935480880051257,17:48:44.00,24,40,634,80,13,1.7200000000000013,10,4
40.41034792644703,-3.693502315686289,17:48:44.00,24,40,634,80,13,1.7600000000000013,10,4
40.41039630737385,-3.6934622915028124,17:48:44.00,24,40,634,80,13,1.8000000000000014,10,4
40.41044932316294,-3.693428646659978,17:48:44.00,24,40,634,80,13,1.8400000000000014,10,4
40.41050613772366,-3.693401911757056,17:48:44.00,24,40,634,80,13,1.8800000000000014,10,4
40.41056585505642,-3.6933825084194356,17:48:44.00,24,40,634,80,13,1.9200000000000015,10,4
40.41062753338321,-3.6933707426493427,17:48:44.00,24,40,634,80,13,1.9600000000000017,10,4
